Date,German word,Meaning,Example sentence
16-09-2026,das Gewässer,body of water,Deutschland hat viele schöne Gewässer.
16-09-2026,das Bundesland,federal state,Bayern ist ein großes Bundesland in Deutschland.
16-09-2026,jedoch,however / though,"Ich möchte kommen, ich habe jedoch keine Zeit."
16-09-2026,das Reiseziel,travel destination,Spanien ist ein beliebtes Reiseziel im Sommer.
16-09-2026,entfernt,away / distant,Meine Schule ist nur zehn Minuten von meinem Haus entfernt.
16-09-2026,das Ufer,shore / bank,Wir machen im Sommer oft Picknick am Ufer des Sees.
16-09-2026,das Gewässer,body of water,In diesem Park gibt es ein schönes Gewässer.
16-09-2026,jedoch,however / though,"Der Test war schwer, ich habe jedoch eine gute Note bekommen."
16-09-2026,das Reiseziel,travel destination,Italien ist ein beliebtes Reiseziel im Sommer.
16-09-2026,entfernt,away / distant,Mein Büro ist nur zehn Minuten von meinem Haus entfernt.
16-09-2026,das Ufer,shore / bank,Wir machen im Sommer ein Picknick am Ufer des Sees.
16-09-2026,der Zuschauer,viewer / spectator,Viele Zuschauer schauen das Fußballspiel im Fernsehen.
16-09-2026,nutzen,to use,Wir nutzen das Internet jeden Tag zum Lernen.
16-09-2026,zurückkehren,to return,Er kehrt morgen aus dem Urlaub zurück.
16-09-2026,der Inhalt,content,Der Inhalt des Films ist sehr spannend.
16-09-2026,deutlich,clear / clearly,Seine Antwort war sehr deutlich und einfach.
16-09-2026,der Zeitraum,period of time,In welchem Zeitraum bist du nicht zu Hause?
16-09-2026,nahezu,"almost, nearly",Ich bin nahezu fertig mit meiner Arbeit.
16-09-2026,in den Schatten stellen,"to overshadow, outshine",Seine gute Leistung stellt alle anderen in den Schatten.
16-09-2026,die Zuschauer,"viewers, audience",Die Zuschauer klatschen nach dem Film.
2026-09-16,die Veranstaltung,event,Am Wochenende besuche ich eine große Veranstaltung.
2026-09-17,der Kinobesuch,cinema visit,Ein Kinobesuch macht mit Freunden viel Spaß.
2026-09-17,die Auswahl,selection / choice,Das Restaurant hat eine große Auswahl an Essen.
2026-09-17,die Werbung,advertisement / commercial,Die Werbung vor dem Film dauert oft zehn Minuten.
2026-09-17,bequem,comfortable,Mein neues Sofa ist sehr bequem.
2026-09-17,die Meinung,opinion,Was ist deine Meinung zu diesem Thema?
2026-09-17,reagieren,to react,Wie reagierst du auf schlechte Nachrichten?
2026-09-17,der Aufsatz,essay,Wir müssen morgen einen Aufsatz für die Schule schreiben.
